タイムスタンプ	ファイル名	エラー	メッセージ
2021-04-21 15:33:14.185 +0900	attendance.fmp12	0	インポート処理が開始されました
2021-04-21 15:33:14.186 +0900	attendance.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2021-04-21 15:33:14.188 +0900	集計	0	フィールド「アラート文面C」は、「アラート文面C 2」としてインポートされました。「アラート文面C」という名前のフィールドはすでに存在します。
2021-04-21 15:33:14.190 +0900	集計	0	インポート済みフィールド: 1
2021-04-21 15:33:14.190 +0900	attendance.fmp12	0	インポートが完了しました
2021-04-21 15:34:10.877 +0900	attendance.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2021-04-21 15:34:10.878 +0900	集計	0	フィールド「アラート文面C」は、「アラート文面C 2」としてインポートされました。「アラート文面C」という名前のフィールドはすでに存在します。
2021-04-21 15:34:10.880 +0900	集計	0	インポート済みフィールド: 1
2021-04-21 15:34:10.880 +0900	attendance.fmp12	0	インポートが完了しました
2021-04-21 15:35:47.494 +0900	attendance.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2021-04-21 15:35:47.495 +0900	集計	8200	項目「>>>>残業アラート<<<< 2」は、計算式の中では通常は使用できません。
2021-04-21 15:35:47.495 +0900	集計	0	フィールド「>>>>残業アラート<<<<」は、「>>>>残業アラート<<<< 2」としてインポートされました。「>>>>残業アラート<<<<」という名前のフィールドはすでに存在します。
2021-04-21 15:35:47.496 +0900	集計	0	インポート済みフィールド: 1
2021-04-21 15:35:47.497 +0900	attendance.fmp12	0	インポートが完了しました
2021-04-21 15:47:29.753 +0900	attendance.fmp12	0	インポート処理が確定されました
2021-04-21 15:47:29.753 +0900	attendance.fmp12	0	==================================================================
2021-04-21 16:01:38.339 +0900	attendance.fmp12	0	クリップボードからの スクリプトステップ のインポートを開始しました
2021-04-21 16:01:38.341 +0900	アラート送信	0	インポート済みスクリプトステップ: 1
2021-04-21 16:01:38.341 +0900	attendance.fmp12	0	インポートが完了しました
2021-04-21 16:04:45.198 +0900	attendance.fmp12	0	クリップボードからの スクリプトステップ のインポートを開始しました
2021-04-21 16:04:45.199 +0900	アラート送信	0	インポート済みスクリプトステップ: 2
2021-04-21 16:04:45.200 +0900	attendance.fmp12	0	インポートが完了しました
2021-04-21 16:05:53.950 +0900	attendance.fmp12	0	クリップボードからの スクリプトステップ のインポートを開始しました
2021-04-21 16:05:53.952 +0900	アラート送信	0	インポート済みスクリプトステップ: 2
2021-04-21 16:05:53.970 +0900	attendance.fmp12	0	インポートが完了しました
2021-04-21 16:18:24.544 +0900	attendance.fmp12	0	クリップボードからの スクリプトステップ のインポートを開始しました
2021-04-21 16:18:24.545 +0900	アラート送信	0	インポート済みスクリプトステップ: 1
2021-04-21 16:18:24.545 +0900	attendance.fmp12	0	インポートが完了しました
2021-04-21 16:18:36.662 +0900	attendance.fmp12	0	クリップボードからの スクリプトステップ のインポートを開始しました
2021-04-21 16:18:36.664 +0900	アラート送信	0	インポート済みスクリプトステップ: 1
2021-04-21 16:18:36.664 +0900	attendance.fmp12	0	インポートが完了しました
