タイムスタンプ	ファイル名	エラー	メッセージ
2021-04-20 17:38:51.292 +0900	attendance.fmp12	0	*** 不適切に終了されたファイルの一貫性チェックを開始しました。チェックするブロック数合計 160
2021-04-20 17:38:51.292 +0900	attendance.fmp12	0	最大ブロックのシーケンス番号を 59844 にリセットします。
2021-04-20 17:38:51.293 +0900	attendance.fmp12	0	*** 一貫性チェックを完了しました。 160 ブロックをチェックしました
2021-04-22 16:09:49.933 +0900	attendance.fmp12	0	*** 不適切に終了されたファイルの一貫性チェックを開始しました。チェックするブロック数合計 175
2021-04-22 16:09:49.936 +0900	attendance.fmp12	8432	ページ 164 はフリーとマークされていますが、フリーリストに存在しません
2021-04-22 16:09:49.936 +0900	attendance.fmp12	8432	ページ 175 はフリーとマークされていますが、フリーリストに存在しません
2021-04-22 16:09:49.937 +0900	attendance.fmp12	0	最大ブロックのシーケンス番号を 113651 にリセットします。
2021-04-22 16:09:49.937 +0900	attendance.fmp12	0	*** 一貫性チェックを完了しました。 175 ブロックをチェックしました
2021-04-22 16:35:42.735 +0900	attendance.fmp12	0	*** 不適切に終了されたファイルの一貫性チェックを開始しました。チェックするブロック数合計 175
2021-04-22 16:35:42.736 +0900	attendance.fmp12	8432	ページ 164 はフリーとマークされていますが、フリーリストに存在しません
2021-04-22 16:35:42.737 +0900	attendance.fmp12	8432	ページ 175 はフリーとマークされていますが、フリーリストに存在しません
2021-04-22 16:35:42.737 +0900	attendance.fmp12	0	最大ブロックのシーケンス番号を 113913 にリセットします。
2021-04-22 16:35:42.737 +0900	attendance.fmp12	0	*** 一貫性チェックを完了しました。 175 ブロックをチェックしました
